R_mean,G_mean,B_mean,R_std,G_std,B_std,R_min,G_min,B_min,R_max,G_max,B_max,R_median,G_median,B_median,R_diff,G_diff,B_diff,HR,person,session,source,video_path
193.9684708333333,152.9036375,122.65415416666664,0.24726219762632548,0.18305792742098512,0.12383391627274218,193.52145833333333,152.67,122.39864583333333,194.34552083333332,153.388125,122.88145833333333,194.00229166666668,152.9153125,122.64864583333333,0.8240624999999966,0.7181250000000148,0.4828124999999943,67,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.18014583333337,152.44789583333332,122.43359583333333,0.21244802673242202,0.1693791691778813,0.18937302923433563,193.73177083333334,152.12677083333332,122.11,194.57979166666667,152.84322916666667,122.80458333333333,194.15958333333333,152.41927083333334,122.3834375,0.8480208333333223,0.7164583333333496,0.6945833333333269,67,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.31027916666665,152.4124958333333,122.39557916666666,0.12992419571405367,0.24682673487410195,0.18850680865614006,194.06385416666666,152.02895833333332,122.07958333333333,194.64614583333332,152.90479166666665,122.8603125,194.28197916666667,152.36770833333333,122.3640625,0.5822916666666629,0.8758333333333326,0.7807291666666742,66,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.86458333333337,153.0457,122.51018333333333,0.17057504610630264,0.14856630382406358,0.15411677199358323,194.6078125,152.6790625,122.20822916666667,195.205625,153.41739583333333,122.81729166666666,194.87072916666668,153.05791666666667,122.48677083333334,0.5978125000000034,0.7383333333333439,0.6090624999999932,65,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.09970833333335,153.6728916666667,122.720275,0.15954084780411426,0.16304935527914502,0.21789482020830805,194.73291666666665,153.36177083333334,122.38822916666666,195.3734375,153.9440625,123.20177083333333,195.1171875,153.6946875,122.7628125,0.6405208333333405,0.5822916666666629,0.8135416666666657,65,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.88895416666665,154.21530416666667,122.75650416666667,0.11940188208082933,0.23388637940722948,0.17444079821914735,194.5903125,153.65583333333333,122.35520833333334,195.14479166666666,154.56666666666666,123.02166666666666,194.89614583333332,154.27791666666667,122.80927083333333,0.5544791666666526,0.9108333333333292,0.666458333333324,65,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.76836666666665,154.34168333333335,122.94441666666665,0.11156056728795911,0.20895494073350906,0.19197960187145377,194.57854166666667,153.99895833333332,122.46479166666667,195.034375,154.77510416666667,123.29114583333333,194.74854166666665,154.2896875,122.96854166666667,0.4558333333333451,0.7761458333333451,0.8263541666666612,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.51585,154.19596666666666,123.02123333333331,0.10149661615186012,0.13919672991150295,0.17667667198476117,194.31302083333333,153.89604166666666,122.61520833333333,194.73854166666666,154.446875,123.32635416666666,194.529375,154.17270833333333,123.02552083333333,0.4255208333333371,0.5508333333333439,0.7111458333333331,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
193.7793625,153.61159583333333,122.72509583333333,0.5560861683828058,0.5780299807199534,0.3275457160628292,193.1946875,152.96791666666667,122.29260416666666,194.77989583333334,154.53895833333334,123.27302083333333,193.47416666666666,153.28552083333332,122.6384375,1.5852083333333553,1.571041666666673,0.9804166666666703,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.56333333333333,154.07518333333334,122.93494999999999,0.5649666072973792,0.3385891598481348,0.2751473486556292,193.44125,153.293125,122.44375,195.2071875,154.4525,123.58041666666666,194.81645833333334,154.21708333333333,122.95614583333334,1.7659375000000068,1.159374999999983,1.1366666666666703,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
