R_mean,G_mean,B_mean,R_std,G_std,B_std,HR,person,session,source,video_path
193.9684708333333,152.9036375,122.65415416666664,0.24726219762632548,0.18305792742098512,0.12383391627274218,67,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.18014583333337,152.44789583333332,122.43359583333333,0.21244802673242202,0.1693791691778813,0.18937302923433563,67,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.31027916666665,152.4124958333333,122.39557916666666,0.12992419571405367,0.24682673487410195,0.18850680865614006,66,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.86458333333337,153.0457,122.51018333333333,0.17057504610630264,0.14856630382406358,0.15411677199358323,65,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.09970833333335,153.6728916666667,122.720275,0.15954084780411426,0.16304935527914502,0.21789482020830805,65,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.88895416666665,154.21530416666667,122.75650416666667,0.11940188208082933,0.23388637940722948,0.17444079821914735,65,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.76836666666665,154.34168333333335,122.94441666666665,0.11156056728795911,0.20895494073350906,0.19197960187145377,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.51585,154.19596666666666,123.02123333333331,0.10149661615186012,0.13919672991150295,0.17667667198476117,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
193.7793625,153.61159583333333,122.72509583333333,0.5560861683828058,0.5780299807199534,0.3275457160628292,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.56333333333333,154.07518333333334,122.93494999999999,0.5649666072973792,0.3385891598481348,0.2751473486556292,64,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.56424166666667,153.70220833333335,122.71215833333332,0.29526194896556696,0.24873726412120203,0.24049053696155184,63,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.09446666666668,154.08851666666666,122.65551666666666,0.09491085144609131,0.14561079830607343,0.24143269651073485,63,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.09934583333336,153.96901250000002,122.65351249999999,0.1545242039877769,0.10588697016814012,0.281751972597355,63,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.03705833333333,153.97739166666668,122.61297500000002,0.16483955077589765,0.283443692477989,0.172179135156771,63,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.94930416666665,154.13628749999998,122.83215416666668,0.1076932561981318,0.2202929726964622,0.1480402321911927,63,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.67732916666665,154.2149458333333,122.70224583333332,0.21563977582224522,0.19707714296126827,0.2224470717321814,63,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
194.8962125,154.58209583333334,122.88539583333333,0.11899067307052837,0.16734127097707202,0.20144254074604404,62,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.12557916666665,154.6921125,122.95184583333332,0.16726217849282746,0.19658317109997378,0.13703136844350725,62,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.68704583333331,155.00579583333334,123.00607916666667,0.5913313859889016,0.4864142743074061,0.3059686787256365,62,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
195.65378333333334,155.03045,122.91711666666669,0.38312431883209175,0.4590730930817743,0.22852642519824545,61,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
196.04762083333335,155.3733875,123.05578750000001,0.23737371766958074,0.2899900712500526,0.17311367060804103,61,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
196.15587916666667,155.62112916666666,123.1486291666667,0.12064106139471863,0.15312448321908212,0.18387070789612375,62,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
196.18583333333328,155.78633333333332,123.31341666666667,0.12928725553759707,0.1521539219744989,0.21627795259290356,62,p1,v1,source1,data-videos\VIPL\VIPL\p1-5\p1\v1\source1\video.avi
